X_lat,Y_lon,Z_depth
484340.9170966888,4407476.2997195665,-1.6538054388046515
484333.54839695705,4407500.2704856135,-1.6766032498619734
484326.17969722534,4407524.2412516605,-1.699401060919295
484318.81099749357,4407548.212017707,-1.7221988719766168
484311.4422977618,4407572.182783754,-1.7449966830339387
484387.1821933776,4407478.236439132,-2.8350950379508313
484380.8290439141,4407501.791721226,-2.8741769997633826
484374.47589445056,4407525.34700332,-2.9132589615759343
484368.1227449871,4407548.902285414,-2.952340923388486
484361.7695955236,4407572.457567507,-2.9914228852010374
484433.4472900664,4407480.173158699,-3.5438687974385386
484428.10969087115,4407503.31295684,-3.592721249704228
484422.7720916759,4407526.45275498,-3.641573701969918
484417.43449248065,4407549.592553121,-3.690426154235608
484412.0968932854,4407572.732351262,-3.7392786065012973
484479.71238675516,4407482.109878264,-3.7801267172677746
484475.3903378282,4407504.834192452,-3.83223599968451
484471.0682889012,4407527.55850664,-3.884345282101246
484466.74623997416,4407550.282820828,-3.9364545645179816
484462.4241910472,4407573.007135016,-3.988563846934717
484479.71238675516,4407482.109878264,-3.7801267172677746
484475.3903378282,4407504.834192452,-3.83223599968451
484471.0682889012,4407527.55850664,-3.884345282101246
484466.74623997416,4407550.282820828,-3.9364545645179816
484462.4241910472,4407573.007135016,-3.988563846934717
484525.977483444,4407484.046597831,-3.543868797438539
484522.67098478525,4407506.355428066,-3.5927212497042285
484519.36448612646,4407528.6642583,-3.641573701969918
484516.05798746774,4407550.973088535,-3.690426154235608
484512.751488809,4407573.28191877,-3.7392786065012973
484572.2425801328,4407485.983317397,-2.835095037950831
484569.9516317423,4407507.876663678,-2.8741769997633826
484567.6606833518,4407529.77000996,-2.9132589615759343
484565.36973496125,4407551.663356242,-2.9523409233884865
484563.07878657075,4407573.5567025235,-2.9914228852010383
484618.50767682155,4407487.920036963,-1.6538054388046513
484617.2322786993,4407509.3978992915,-1.6766032498619732
484615.956880577,4407530.875761621,-1.699401060919295
484614.6814824548,4407552.353623949,-1.722198871976617
484613.40608433256,4407573.831486277,-1.744996683033939
484664.77277351037,4407489.856756529,0.0
484664.5129256564,4407510.919134905,0.0
484664.25307780236,4407531.98151328,0.0
484663.99322994833,4407553.043891655,0.0
484663.73338209436,4407574.106270031,0.0
484311.4422977618,4407572.182783754,-1.7449966830339387
484313.0175962832,4407619.10469675,-1.7792654749064742
484314.59289480466,4407666.026609747,-1.8135342667790095
484316.16819332604,4407712.948522743,-1.8478030586515448
484317.7434918475,4407759.870435739,-1.8820718505240803
484361.7695955236,4407572.457567507,-2.9914228852010374
484361.66944256646,4407619.0966435,-3.0501693855539553
484361.5692896093,4407665.735719493,-3.1089158859068733
484361.46913665213,4407712.374795484,-3.1676623862597912
484361.368983695,4407759.013871477,-3.226408886612709
484412.0968932854,4407572.732351262,-3.7392786065012973
484410.3212888497,4407619.08859025,-3.8127117319424446
484408.5456844139,4407665.444829239,-3.8861448573835915
484406.77007997816,4407711.801068228,-3.959577982824739
484404.99447554245,4407758.157307216,-4.033011108265886
484462.4241910472,4407573.007135016,-3.988563846934717
484458.9731351329,4407619.080537001,-4.066892514071941
484455.5220792186,4407665.153938985,-4.145221181209164
484452.07102330425,4407711.22734097,-4.223549848346389
484448.61996738997,4407757.300742955,-4.3018785154836126
484462.4241910472,4407573.007135016,-3.988563846934717
484458.9731351329,4407619.080537001,-4.066892514071941
484455.5220792186,4407665.153938985,-4.145221181209164
484452.07102330425,4407711.22734097,-4.223549848346389
484448.61996738997,4407757.300742955,-4.3018785154836126
484512.751488809,4407573.28191877,-3.7392786065012973
484507.62498141616,4407619.072483751,-3.8127117319424446
484502.49847402325,4407664.863048732,-3.8861448573835915
484497.37196663034,4407710.653613713,-3.959577982824739
484492.2454592375,4407756.444178694,-4.033011108265886
484563.07878657075,4407573.5567025235,-2.9914228852010383
484556.27682769933,4407619.0644305,-3.050169385553956
484549.47486882785,4407664.572158478,-3.1089158859068733
484542.6729099564,4407710.079886455,-3.167662386259791
484535.870951085,4407755.587614432,-3.2264088866127083
484613.40608433256,4407573.831486277,-1.744996683033939
484604.9286739825,4407619.056377251,-1.7792654749064742
484596.4512636325,4407664.281268224,-1.8135342667790093
484587.9738532825,4407709.506159198,-1.8478030586515446
484579.49644293246,4407754.731050171,-1.8820718505240799
484663.73338209436,4407574.106270031,0.0
484653.58052026574,4407619.048324001,0.0
484643.42765843717,4407663.99037797,0.0
484633.2747966086,4407708.93243194,0.0
484623.12193478,4407753.87448591,0.0
484317.7434918475,4407759.870435739,-1.8820718505240803
484317.7495531859,4407772.082827642,-1.9155057724688909
484317.75561452436,4407784.295219544,-1.9489396944137014
484317.76167586277,4407796.507611446,-1.982373616358512
484317.7677372012,4407808.720003349,-2.0158075383033225
484361.368983695,4407759.013871477,-3.226408886612709
484361.00460637186,4407771.688405283,-3.2837241813752414
484360.6402290487,4407784.362939088,-3.341039476137774
484360.2758517255,4407797.037472893,-3.398354770900306
484359.91147440235,4407809.712006698,-3.4556700656628383
484404.99447554245,4407758.157307216,-4.033011108265886
484404.2596595577,4407771.293982924,-4.104655226719052
484403.524843573,4407784.430658631,-4.176299345172216
484402.79002758826,4407797.567334339,-4.247943463625382
484402.0552116035,4407810.704010047,-4.319587582078547
484448.61996738997,4407757.300742955,-4.3018785154836126
484447.51471274364,4407770.899560565,-4.378298908500322
484446.4094580973,4407784.498378175,-4.454719301517032
484445.304203451,4407798.0971957855,-4.531139694533741
484444.1989488047,4407811.696013396,-4.607560087550451
484448.61996738997,4407757.300742955,-4.3018785154836126
484447.51471274364,4407770.899560565,-4.378298908500322
484446.4094580973,4407784.498378175,-4.454719301517032
484445.304203451,4407798.0971957855,-4.531139694533741
484444.1989488047,4407811.696013396,-4.607560087550451
484492.2454592375,4407756.444178694,-4.033011108265886
484490.76976592955,4407770.505138206,-4.104655226719052
484489.2940726217,4407784.56609772,-4.176299345172216
484487.8183793138,4407798.627057232,-4.247943463625382
484486.34268600587,4407812.688016744,-4.319587582078547
484535.870951085,4407755.587614432,-3.2264088866127083
484534.0248191155,4407770.110715847,-3.283724181375241
484532.17868714605,4407784.633817263,-3.3410394761377735
484530.3325551765,4407799.156918678,-3.398354770900306
484528.48642320704,4407813.680020094,-3.4556700656628387
484579.49644293246,4407754.731050171,-1.8820718505240799
484577.2798723014,4407769.716293489,-1.9155057724688902
484575.0633016703,4407784.701536806,-1.9489396944137007
484572.84673103923,4407799.686780125,-1.9823736163585113
484570.63016040815,4407814.672023443,-2.0158075383033216
484623.12193478,4407753.87448591,0.0
484620.5349254873,4407769.32187113,0.0
484617.9479161947,4407784.769256351,0.0
484615.360906902,4407800.216641571,0.0
484612.7738976093,4407815.664026791,0.0
484317.7677372012,4407808.720003349,-2.0158075383033225
484339.0085285208,4407893.626976956,-1.9995301137130936
484360.2493198404,4407978.533950562,-1.9832526891228648
484381.49011116,4408063.440924168,-1.9669752645326362
484402.7309024796,4408148.347897775,-1.9506978399424073
484359.91147440235,4407809.712006698,-3.4556700656628383
484379.2628070416,4407887.059953911,-3.427765909222446
484398.61413968075,4407964.407901123,-3.399861752782054
484417.96547232,4408041.755848336,-3.3719575963416615
484437.3168049592,4408119.103795549,-3.3440534399012694
484402.0552116035,4407810.704010047,-4.319587582078547
484419.51708556234,4407880.492930866,-4.284707386528057
484436.97895952116,4407950.281851685,-4.249827190977567
484454.44083348,4408020.0707725035,-4.214946995427077
484471.9027074388,4408089.859693322,-4.180066799876586
484444.1989488047,4407811.696013396,-4.607560087550451
484459.7713640831,4407873.92590782,-4.570354545629928
484475.3437793616,4407936.155802246,-4.533149003709405
484490.91619464,4407998.385696672,-4.495943461788882
484506.4886099184,4408060.615591097,-4.458737919868359
484444.1989488047,4407811.696013396,-4.607560087550451
484459.7713640831,4407873.92590782,-4.570354545629928
484475.3437793616,4407936.155802246,-4.533149003709405
484490.91619464,4407998.385696672,-4.495943461788882
484506.4886099184,4408060.615591097,-4.458737919868359
484486.34268600587,4407812.688016744,-4.319587582078547
484500.02564260387,4407867.358884776,-4.284707386528058
484513.7085992019,4407922.029752808,-4.249827190977568
484527.3915558,4407976.700620839,-4.214946995427077
484541.074512398,4408031.371488871,-4.180066799876587
484528.48642320704,4407813.680020094,-3.4556700656628387
484540.2799211247,4407860.791861732,-3.4277659092224466
484552.0734190423,4407907.903703369,-3.399861752782054
484563.86691695993,4407955.015545008,-3.3719575963416615
484575.6604148776,4408002.127386645,-3.3440534399012694
484570.63016040815,4407814.672023443,-2.0158075383033216
484580.5341996454,4407854.224838687,-1.9995301137130927
484590.4382388827,4407893.777653931,-1.983252689122864
484600.34227811993,4407933.330469175,-1.966975264532635
484610.2463173572,4407972.88328442,-1.9506978399424062
484612.7738976093,4407815.664026791,0.0
484620.7884781662,4407847.657815642,0.0
484628.80305872305,4407879.651604492,0.0
484636.8176392799,4407911.645393343,0.0
484644.83221983677,4407943.639182193,0.0
484402.7309024796,4408148.347897775,-1.9506978399424073
484440.2547462939,4408176.000000726,-1.995105283454561
484477.77859010815,4408203.652103679,-2.0395127269667146
484515.30243392236,4408231.304206631,-2.0839201704788684
484552.82627773663,4408258.956309583,-2.128327613991022
484437.3168049592,4408119.103795549,-3.3440534399012694
484470.37974258774,4408145.6970014535,-3.4201804859221046
484503.4426802163,4408172.290207357,-3.4963075319429398
484536.5056178448,4408198.883413261,-3.572434577963775
484569.56855547335,4408225.476619165,-3.64856162398461
484471.9027074388,4408089.859693322,-4.180066799876586
484500.5047388816,4408115.394002179,-4.27522560740263
484529.1067703244,4408140.928311035,-4.370384414928674
484557.7088017672,4408166.46261989,-4.465543222454719
484586.31083321,4408191.996928747,-4.560702029980763
484506.4886099184,4408060.615591097,-4.458737919868359
484530.62973517546,4408085.091002905,-4.56024064789614
484554.77086043253,4408109.566414713,-4.661743375923919
484578.9119856896,4408134.041826521,-4.763246103951699
484603.05311094667,4408158.517238329,-4.86474883197948
484506.4886099184,4408060.615591097,-4.458737919868359
484530.62973517546,4408085.091002905,-4.56024064789614
484554.77086043253,4408109.566414713,-4.661743375923919
484578.9119856896,4408134.041826521,-4.763246103951699
484603.05311094667,4408158.517238329,-4.86474883197948
484541.074512398,4408031.371488871,-4.180066799876587
484560.7547314693,4408054.788003631,-4.275225607402631
484580.43495054066,4408078.204518391,-4.370384414928675
484600.11516961205,4408101.621033152,-4.465543222454719
484619.7953886834,4408125.0375479115,-4.560702029980763
484575.6604148776,4408002.127386645,-3.3440534399012694
484590.8797277632,4408024.485004358,-3.4201804859221046
484606.0990406488,4408046.84262207,-3.4963075319429393
484621.31835353444,4408069.200239781,-3.572434577963774
484636.53766642004,4408091.557857494,-3.6485616239846093
484610.2463173572,4407972.88328442,-1.9506978399424062
484621.00472405704,4407994.182005084,-1.99510528345456
484631.7631307569,4408015.480725748,-2.0395127269667137
484642.52153745684,4408036.779446412,-2.083920170478867
484653.2799441567,4408058.078167076,-2.1283276139910208
484644.83221983677,4407943.639182193,0.0
484651.1297203509,4407963.879005809,0.0
484657.42722086504,4407984.118829425,0.0
484663.7247213792,4408004.3586530415,0.0
484670.02222189336,4408024.598476658,0.0
484552.82627773663,4408258.956309583,-2.128327613991022
484574.8932679811,4408260.710948387,-2.151236920187791
484596.9602582257,4408262.465587191,-2.17414622638456
484619.02724847017,4408264.2202259945,-2.197055532581329
484641.09423871466,4408265.974864799,-2.2199648387780977
484569.56855547335,4408225.476619165,-3.64856162398461
484590.68353596237,4408229.530646773,-3.687834720321928
484611.7985164514,4408233.584674382,-3.727107816659246
