X_lat,Y_lon,Z_depth
484301.03339264676,4407474.630133733,-0.25620359439270296
484307.41478529345,4407474.897267466,-0.503417588982153
484313.7961779402,4407475.1644012,-0.7416419837683506
484320.1775705869,4407475.431534933,-0.9708767787512953
484326.55896323366,4407475.698668666,-1.191121973930987
484332.94035588036,4407475.965802399,-1.4023775693074265
484339.3217485271,4407476.232936133,-1.6046435648806132
484345.7031411739,4407476.500069866,-1.7979199606505467
484352.08453382057,4407476.767203599,-1.9822067566172281
484358.4659264673,4407477.0343373325,-2.1575039527806563
484364.847319114,4407477.301471066,-2.3238115491408315
484371.2287117608,4407477.568604799,-2.4811295456977547
484377.6101044075,4407477.835738532,-2.629457942451425
484383.99149705423,4407478.1028722655,-2.768796739401842
484390.372889701,4407478.370005999,-2.899145936549007
484396.7542823477,4407478.637139732,-3.0205055338929188
484403.13567499444,4407478.904273465,-3.1328755314335774
484409.51706764114,4407479.1714071985,-3.2362559291709845
484415.8984602879,4407479.438540932,-3.330646727105138
484422.2798529346,4407479.705674665,-3.4160479252360387
484428.66124558134,4407479.972808398,-3.4924595235636873
484435.04263822804,4407480.239942132,-3.559881522088083
484441.4240308748,4407480.507075865,-3.618313920809225
484447.80542352155,4407480.774209598,-3.6677567197271155
484454.18681616825,4407481.041343331,-3.708209918841753
484460.568208815,4407481.308477065,-3.739673518153137
484466.9496014617,4407481.575610798,-3.7621475176612695
484473.33099410846,4407481.842744531,-3.7756319173661486
484479.71238675516,4407482.109878264,-3.7801267172677746
484479.71238675516,4407482.109878264,-3.7801267172677746
484486.0937794019,4407482.377011998,-3.7756319173661486
484492.47517204867,4407482.644145731,-3.7621475176612695
484498.85656469536,4407482.911279464,-3.7396735181531375
484505.2379573421,4407483.178413197,-3.708209918841753
484511.6193499888,4407483.445546931,-3.6677567197271155
484518.0007426356,4407483.712680664,-3.6183139208092254
484524.38213528227,4407483.979814397,-3.559881522088083
484530.763527929,4407484.24694813,-3.4924595235636873
484537.1449205758,4407484.514081864,-3.416047925236039
484543.5263132225,4407484.781215597,-3.3306467271051376
484549.90770586923,4407485.04834933,-3.2362559291709845
484556.28909851593,4407485.315483063,-3.1328755314335783
484562.6704911627,4407485.582616797,-3.0205055338929183
484569.0518838094,4407485.84975053,-2.8991459365490067
484575.43327645614,4407486.116884263,-2.768796739401843
484581.8146691029,4407486.3840179965,-2.6294579424514244
484588.1960617496,4407486.65115173,-2.4811295456977547
484594.57745439635,4407486.918285463,-2.3238115491408324
484600.95884704305,4407487.185419196,-2.157503952780656
484607.3402396898,4407487.4525529295,-1.982206756617228
484613.7216323365,4407487.719686663,-1.7979199606505476
484620.10302498325,4407487.986820396,-1.6046435648806125
484626.48441762995,4407488.253954129,-1.4023775693074265
484632.8658102767,4407488.521087863,-1.191121973930988
484639.24720292346,4407488.788221596,-0.9708767787512946
484645.62859557016,4407489.055355329,-0.7416419837683506
484652.0099882169,4407489.322489062,-0.5034175889821539
484658.3913808636,4407489.589622796,-0.2562035943927022
