X_lat,Y_lon,Z_depth
484301.03339264676,4407474.630133733,-0.25620359439270296
484292.78921854583,4407498.959075602,-0.2597353769108408
484284.54504444485,4407523.28801747,-0.2632671594289786
484276.3008703439,4407547.616959339,-0.26679894194711645
484268.056696243,4407571.945901208,-0.2703307244652543
484307.41478529345,4407474.897267466,-0.503417588982153
484299.3106870916,4407499.168901203,-0.5103572318248099
484291.2065888897,4407523.44053494,-0.5172968746674667
484283.10249068786,4407547.712168678,-0.5242365175101236
484274.998392486,4407571.9838024145,-0.5311761603527804
484313.7961779402,4407475.1644012,-0.7416419837683506
484305.83215563744,4407499.378726806,-0.7518655647419075
484297.8681333346,4407523.593052411,-0.7620891457154644
484289.9041110318,4407547.807378016,-0.7723127266890213
484281.940088729,4407572.021703622,-0.7825363076625782
484320.1775705869,4407475.431534933,-0.9708767787512953
484312.3536241832,4407499.588552407,-0.9842603756621334
484304.5296777795,4407523.745569881,-0.9976439725729715
484296.7057313757,4407547.902587355,-1.0110275694838098
484288.88178497204,4407572.059604829,-1.0244111663946478
484326.55896323366,4407475.698668666,-1.191121973930987
484318.875092729,4407499.798378009,-1.2075416645854875
484311.1912222244,4407523.898087352,-1.2239613552399882
484303.5073517197,4407547.997796694,-1.2403810458944888
484295.82348121505,4407572.097506037,-1.2568007365489893
484332.94035588036,4407475.965802399,-1.4023775693074265
484325.39656127477,4407500.008203611,-1.4217094315119705
484317.85276666924,4407524.050604822,-1.4410412937165145
484310.30897206365,4407548.093006033,-1.4603731559210584
484302.76517745806,4407572.135407245,-1.4797050181256024
484339.3217485271,4407476.232936133,-1.6046435648806132
484331.9180298206,4407500.218029212,-1.6267636764415818
484324.5143111141,4407524.203122292,-1.6488837880025504
484317.1105924075,4407548.188215372,-1.6710038995635188
484309.706873701,4407572.173308452,-1.6931240111244874
484345.7031411739,4407476.500069866,-1.7979199606505467
484338.43949836644,4407500.427854815,-1.822704399374321
484331.17585555895,4407524.355639763,-1.8474888380980954
484323.91221275146,4407548.283424711,-1.8722732768218697
484316.648569944,4407572.211209659,-1.897057715545644
484352.08453382057,4407476.767203599,-1.9822067566172281
484344.9609669122,4407500.637680416,-2.009531600310189
484337.8374000038,4407524.508157233,-2.0368564440031505
484330.7138330954,4407548.37863405,-2.064181287696112
484323.59026618704,4407572.249110866,-2.091506131389073
484358.4659264673,4407477.0343373325,-2.1575039527806563
484351.482435458,4407500.847506018,-2.1872452792491854
484344.49894444866,4407524.660674703,-2.2169866057177146
484337.5154534394,4407548.473843388,-2.246727932186244
484330.53196243005,4407572.287012074,-2.2764692586547732
484364.847319114,4407477.301471066,-2.3238115491408315
484358.00390400377,4407501.05733162,-2.35584543619131
484351.1604888935,4407524.813192174,-2.3878793232417883
484344.3170737833,4407548.569052728,-2.4199132102922665
484337.47365867306,4407572.324913282,-2.451947097342745
484371.2287117608,4407477.568604799,-2.4811295456977547
484364.5253725496,4407501.267157221,-2.515332071136563
484357.8220333384,4407524.965709643,-2.5495345965753717
484351.11869412725,4407548.664262067,-2.5837371220141807
484344.41535491607,4407572.362814489,-2.6179396474529892
484377.6101044075,4407477.835738532,-2.629457942451425
484371.0468410954,4407501.476982824,-2.6657051840849446
484364.4835777833,4407525.118227115,-2.701952425718465
484357.9203144712,4407548.759471405,-2.738199667351985
484351.3570511591,4407572.400715697,-2.774446908985505
484383.99149705423,4407478.1028722655,-2.768796739401842
484377.5683096412,4407501.686808425,-2.8069647750364544
484371.1451222282,4407525.2707445845,-2.845132810671067
484364.7219348151,4407548.854680745,-2.88330084630568
484358.2987474021,4407572.438616904,-2.9214688819402923
484390.372889701,4407478.370005999,-2.899145936549007
484384.089778187,4407501.896634027,-2.9391108439910933
484377.80666667304,4407525.423262055,-2.9790757514331796
484371.5235551591,4407548.949890083,-3.0190406588752654
484365.2404436451,4407572.476518111,-3.0590055663173517
484396.7542823477,4407478.637139732,-3.0205055338929188
484390.61124673276,4407502.106459629,-3.06214339094886
484384.4682111179,4407525.575779526,-3.1037812480048004
484378.32517550304,4407549.045099422,-3.1454191050607414
484372.1821398881,4407572.514419319,-3.1870569621166824
484403.13567499444,4407478.904273465,-3.1328755314335774
484397.1327152786,4407502.31628523,-3.1760624159097546
484391.12975556275,4407525.728296995,-3.2192493003859313
484385.12679584697,4407549.140308761,-3.262436184862108
484379.1238361311,4407572.552320526,-3.305623069338285
484409.51706764114,4407479.1714071985,-3.2362559291709845
484403.6541838244,4407502.526110833,-3.280867918873778
484397.7913000076,4407525.880814467,-3.325479908576572
484391.9284161909,4407549.2355181,-3.370091898279366
484386.06553237414,4407572.590221734,-3.4147038879821596
484415.8984602879,4407479.438540932,-3.330646727105138
484410.1756523702,4407502.735936434,-3.37655989984093
484404.45284445246,4407526.033331936,-3.4224730725767225
484398.7300365348,4407549.330727439,-3.4683862453125145
484393.0072286171,4407572.628122942,-3.5142994180483065
484422.2798529346,4407479.705674665,-3.4160479252360387
484416.697120916,4407502.945762036,-3.46313835881121
484411.1143888973,4407526.185849407,-3.510228792386381
484405.5316568787,4407549.425936777,-3.5573192259615523
484399.9489248601,4407572.666024148,-3.6044096595367234
484428.66124558134,4407479.972808398,-3.4924595235636873
484423.21858946176,4407503.155587638,-3.540603295784619
484417.77593334223,4407526.338366877,-3.588747068005551
484412.3332772227,4407549.521146117,-3.636890840226483
484406.8906211031,4407572.703925356,-3.6850346124474145
484435.04263822804,4407480.239942132,-3.559881522088083
484429.74005800753,4407503.365413239,-3.608954710761156
484424.4374777871,4407526.490884347,-3.658027899434229
484419.13489756663,4407549.6163554555,-3.7071010881073025
484413.8323173461,4407572.741826563,-3.7561742767803756
484441.4240308748,4407480.507075865,-3.618313920809225
